locationid,objectid,title,TypesofArt,constituentid,displaydate,forwarddisplayname,preferreddisplayname,displaydate_x,nationality,visualbrowsernationality,displayorder,roletype,role,prefix,suffix,displaydate_y,beginyear,endyear,country,medium,creditline,dimensions,site,room,publicaccess,description,unitposition,iiifurl,iiifthumburl
4482,164024,The Miner,Sculpture,32825,1904,Constantin Meunier,"Meunier, Constantin","Belgian, 1831 - 1905",Belgian,Belgian,1,artist,sculptor,,,,,,,glazed stoneware in period wood frame,Gift of Mary L. Levkoff,"overall: 17.15 × 21.91 cm (6 3/4 × 8 5/8 in.)
framed: 23.18 × 25.08 cm (9 1/8 × 9 7/8 in.)",West Building,G-005,1,West Ground Floor Gallery 5,E,https://api.nga.gov/iiif/7e0e1854-d39a-4347-b181-e1fb18b9c1d3,"https://api.nga.gov/iiif/7e0e1854-d39a-4347-b181-e1fb18b9c1d3/full/!200,200/0/default.jpg"
4482,132513,Head of Mrs. John Peter Russell (Marianna Mattiocco della Torre),Sculpture,2251,model 1888,Auguste Rodin,"Rodin, Auguste","French, 1840 - 1917",French,French,1,artist,sculptor,,,,,,,bronze,Gift of Elizabeth L. Klee,height: 35 cm (13 3/4 in.),West Building,G-005,1,West Ground Floor Gallery 5,E,https://api.nga.gov/iiif/36a5e83e-8381-46f6-a785-7a00f1aa8ef7,"https://api.nga.gov/iiif/36a5e83e-8381-46f6-a785-7a00f1aa8ef7/full/!200,200/0/default.jpg"
4482,112663,Pair of Wooden Shoes (Sabots) [left],Sculpture,1330,1889/1890,Paul Gauguin,"Gauguin, Paul","French, 1848 - 1903",French,French,1,artist,artist,,,,,,,"polychromed oak, leather, and iron nails",Chester Dale Collection,overall: 12.9 x 32.7 x 11.3 cm (5 1/16 x 12 7/8 x 4 7/16 in.),West Building,G-005,1,West Ground Floor Gallery 5,E,https://api.nga.gov/iiif/44a731a9-e900-4898-a282-01034fcaa6ca,"https://api.nga.gov/iiif/44a731a9-e900-4898-a282-01034fcaa6ca/full/!200,200/0/default.jpg"
4482,51137,Mlle Dominique Jeanès,Sculpture,2085,1925,Charles Despiau,"Despiau, Charles","French, 1874 - 1946",French,French,1,artist,artist,,,,,,,terracotta,Gift of Angelika Wertheim Frink,overall: 23 x 12.6 x 13.9 cm (9 1/16 x 4 15/16 x 5 1/2 in.),West Building,G-005,1,West Ground Floor Gallery 5,E,https://api.nga.gov/iiif/5598f471-043c-4adc-9203-c0192a4694c5,"https://api.nga.gov/iiif/5598f471-043c-4adc-9203-c0192a4694c5/full/!200,200/0/default.jpg"
4482,141007,Société Royale Belge des Aquarellistes 1856-1906,Sculpture,32825,"model 1904, cast probably 1906",Constantin Meunier,"Meunier, Constantin","Belgian, 1831 - 1905",Belgian,Belgian,1,artist,artist,,,,,,,copper,Gift of Mark and Lynne Hammerschlag in honor of Nicholas Penny,overall: 8.5 x 7.6 cm (3 3/8 x 3 in.),West Building,G-005,1,West Ground Floor Gallery 5,E,https://api.nga.gov/iiif/b18c37ac-e300-4b47-94fe-7a2ac5dda8eb,"https://api.nga.gov/iiif/b18c37ac-e300-4b47-94fe-7a2ac5dda8eb/full/!200,200/0/default.jpg"
4482,46502,Madame Alexandre Kohler,Painting,1330,1887/1888,Paul Gauguin,"Gauguin, Paul","French, 1848 - 1903",French,French,1,artist,painter,,,,,,,oil on linen,Chester Dale Collection,"overall: 46.3 x 38 cm (18 1/4 x 14 15/16 in.)
framed: 61.6 x 52.7 cm (24 1/4 x 20 3/4 in.)",West Building,G-005,1,West Ground Floor Gallery 5,E,https://api.nga.gov/iiif/659b932c-1ffb-4b6b-806e-c095d9ff10f4,"https://api.nga.gov/iiif/659b932c-1ffb-4b6b-806e-c095d9ff10f4/full/!200,200/0/default.jpg"
4482,46714,Pair of Wooden Shoes (Sabots) [right],Sculpture,1330,1889/1890,Paul Gauguin,"Gauguin, Paul","French, 1848 - 1903",French,French,1,artist,artist,,,,,,,"polychromed oak, leather, and iron nails",Chester Dale Collection,overall: 12.8 x 32.7 x 11.2 cm (5 1/16 x 12 7/8 x 4 7/16 in.),West Building,G-005,1,West Ground Floor Gallery 5,E,https://api.nga.gov/iiif/d1b72e2d-e88a-4949-a4db-a373ab226376,"https://api.nga.gov/iiif/d1b72e2d-e88a-4949-a4db-a373ab226376/full/!200,200/0/default.jpg"
4482,150774,Medallion for the Pennsylvania Academy of the Fine Arts,Sculpture,34843,probably 1893,Jean-Baptiste Daniel-Dupuis,"Daniel-Dupuis, Jean-Baptiste","French, 1849 - 1899",French,French,1,artist,artist,,,,,,,high tin-content bronze,Mark and Lynne Hammerschlag Fund in honor of Nicholas Penny,overall (diameter): 27.7 cm (10 7/8 in.),West Building,G-005,1,West Ground Floor Gallery 5,E,https://api.nga.gov/iiif/f75b70cf-9857-470b-878c-9590d9180548,"https://api.nga.gov/iiif/f75b70cf-9857-470b-878c-9590d9180548/full/!200,200/0/default.jpg"
8463,118611,Self-Portrait as a Lute Player,Painting,25213,c. 1637/1638,Jan Miense Molenaer,"Molenaer, Jan Miense","Dutch, c. 1610 - 1668",Dutch,Dutch,1,artist,painter,,,,,,,oil on panel,The Lee and Juliet Folger Fund,overall: 38.7 x 32.4 cm (15 1/4 x 12 3/4 in.),West Building,M-050-C,1,West Main Floor Gallery 50 C,S,https://api.nga.gov/iiif/9cbdd768-889a-4f1e-aba1-c7a5f9ca728b,"https://api.nga.gov/iiif/9cbdd768-889a-4f1e-aba1-c7a5f9ca728b/full/!200,200/0/default.jpg"
8463,161648,The Alchemist,Painting,3486,1663,Cornelis Bega,"Bega, Cornelis","Dutch, 1631/1632 - 1664",Dutch,Dutch,1,artist,artist,,,,,,,oil on canvas mounted on panel,From the Collection of Ethel and Martin Wunsch,overall: 35 × 28.6 cm (13 3/4 × 11 1/4 in.),West Building,M-050-C,1,West Main Floor Gallery 50 C,S,https://api.nga.gov/iiif/fed44c43-1de2-41ed-98cd-5dc35f39d20a,"https://api.nga.gov/iiif/fed44c43-1de2-41ed-98cd-5dc35f39d20a/full/!200,200/0/default.jpg"
8463,106946,Bust of a Bearded Man,Painting,1239,c. 1642/1645,Gerrit Dou,"Dou, Gerrit","Dutch, 1613 - 1675",Dutch,Dutch,1,artist,painter,,,,,,,oil on panel,Corcoran Collection (William A. Clark Collection),"overall (oval): 18.41 × 14.92 cm (7 1/4 × 5 7/8 in.)
framed: 34 x 30.2 x 5.4 cm (13 3/8 x 11 7/8 x 2 1/8 in.)",West Building,M-050-C,1,West Main Floor Gallery 50 C,S,https://api.nga.gov/iiif/0290c78e-7432-48f6-889a-378e9862fe15,"https://api.nga.gov/iiif/0290c78e-7432-48f6-889a-378e9862fe15/full/!200,200/0/default.jpg"
8463,128004,Self-Portrait in the Studio,Painting,27868,c. 1645,Gillis van Tilborgh the Younger,"Tilborgh the Younger, Gillis van","Flemish, c. 1625 - c. 1678",Flemish,Flemish,1,artist,painter,,,,,,,oil on panel,Gift of Otto Naumann and Heidi Shafranek,overall: 10.8 x 8.9 cm (4 1/4 x 3 1/2 in.),West Building,M-050-C,1,West Main Floor Gallery 50 C,S,https://api.nga.gov/iiif/fac6fde2-18ab-413a-ad65-4c48ad5cf8d9,"https://api.nga.gov/iiif/fac6fde2-18ab-413a-ad65-4c48ad5cf8d9/full/!200,200/0/default.jpg"
6635,218815,"Country store on dirt road. Sunday afternoon. Note the kerosene pump on the right and the gasoline pump on the left. Rough, unfinished timber posts have been used as supports for porch roof. Negro men are sitting on the porch. Brother of store owner stands in doorway, Gordonton, North Carolina",Photograph,44358,"July 1939, printed later",Dorothea Lange,"Lange, Dorothea","American, 1895 - 1965",American,American,1,artist,artist,,,,,,,gelatin silver print,Gift of Daniel Greenberg and Susan Steinhauser,"image: 24.5 × 34.3 cm (9 5/8 × 13 1/2 in.)
sheet: 25.6 × 35.4 cm (10 1/16 × 13 15/16 in.)",West Building,G-033,1,West Ground Floor Gallery 33,S,https://api.nga.gov/iiif/346b9dc8-7ed4-4e3d-8d59-86a04f462080,"https://api.nga.gov/iiif/346b9dc8-7ed4-4e3d-8d59-86a04f462080/full/!200,200/0/default.jpg"
6635,208562,"Child of impoverished Negro tenant family working on farm, Alabama",Photograph,44358,July 1936,Dorothea Lange,"Lange, Dorothea","American, 1895 - 1965",American,American,1,artist,artist,,,,,,,gelatin silver print,Gift of Daniel Greenberg and Susan Steinhauser,"image: 20 × 19.2 cm (7 7/8 × 7 9/16 in.)
sheet: 25.4 × 20.2 cm (10 × 7 15/16 in.)",West Building,G-033,1,West Ground Floor Gallery 33,S,https://api.nga.gov/iiif/ee5bf3cb-3f37-4a3f-9f76-5b3a9b31327e,"https://api.nga.gov/iiif/ee5bf3cb-3f37-4a3f-9f76-5b3a9b31327e/full/!200,200/0/default.jpg"
6635,208642,"Negro sharecropper with twenty acres. He receives eight cents a day for hoeing cotton. Brazos riverbottoms, near Bryan, Texas
",Photograph,44358,"June 1938, printed c. 1950",Dorothea Lange,"Lange, Dorothea","American, 1895 - 1965",American,American,1,artist,artist,,,,,,,gelatin silver print,Gift of Daniel Greenberg and Susan Steinhauser,"image: 24.1 × 19.2 cm (9 1/2 × 7 9/16 in.)
sheet: 25.3 × 20.5 cm (9 15/16 × 8 1/16 in.)",West Building,G-033,1,West Ground Floor Gallery 33,S,https://api.nga.gov/iiif/31b8018f-e616-4965-979d-cbf757eb8d16,"https://api.nga.gov/iiif/31b8018f-e616-4965-979d-cbf757eb8d16/full/!200,200/0/default.jpg"
6635,208568,"Yazoo Delta, Mississippi",Photograph,44358,"1938, printed 1965",Dorothea Lange,"Lange, Dorothea","American, 1895 - 1965",American,American,1,artist,artist,,,,,,,gelatin silver print,Gift of Daniel Greenberg and Susan Steinhauser,image/sheet: 34.2 × 44.7 cm (13 7/16 × 17 5/8 in.),West Building,G-033,1,West Ground Floor Gallery 33,S,https://api.nga.gov/iiif/34e98638-6c43-4bf2-bc29-e63301d90f0d,"https://api.nga.gov/iiif/34e98638-6c43-4bf2-bc29-e63301d90f0d/full/!200,200/0/default.jpg"
6635,208581,"Formerly enslaved woman, Alabama",Photograph,44358,"1938, printed 1950s",Dorothea Lange,"Lange, Dorothea","American, 1895 - 1965",American,American,1,artist,artist,,,,,,,gelatin silver print,Gift of Daniel Greenberg and Susan Steinhauser,image/sheet: 20.32 × 27.94 cm (8 × 11 in.),West Building,G-033,1,West Ground Floor Gallery 33,S,https://api.nga.gov/iiif/47d1912e-7773-43c9-82fb-645cd21b2f37,"https://api.nga.gov/iiif/47d1912e-7773-43c9-82fb-645cd21b2f37/full/!200,200/0/default.jpg"
6635,208607,"Formerly enslaved woman, Alabama",Photograph,44358,"1938, printed c. 1955",Dorothea Lange,"Lange, Dorothea","American, 1895 - 1965",American,American,1,artist,artist,,,,,,,gelatin silver print,Gift of Daniel Greenberg and Susan Steinhauser,"image: 24 × 19 cm (9 7/16 × 7 1/2 in.)
sheet: 25 × 20 cm (9 13/16 × 7 7/8 in.)",West Building,G-033,1,West Ground Floor Gallery 33,S,https://api.nga.gov/iiif/28afaada-9803-4f02-9b9b-198c8175edd4,"https://api.nga.gov/iiif/28afaada-9803-4f02-9b9b-198c8175edd4/full/!200,200/0/default.jpg"
6636,218817,"This man is a labor contractor in the pea fields of California. ""One-Eye"" Charlie gives his views. ""I'm making my living off of these people (migrant laborers) so I know the conditions,"" San Luis Obispo County, California",Photograph,44358,February 1936,Dorothea Lange,"Lange, Dorothea","American, 1895 - 1965",American,American,1,artist,artist,,,,,,,gelatin silver print,Gift of Daniel Greenberg and Susan Steinhauser,"image: 24.13 × 19.69 cm (9 1/2 × 7 3/4 in.)
sheet: 25.4 × 20.32 cm (10 × 8 in.)",West Building,G-033,1,West Ground Floor Gallery 33,W,https://api.nga.gov/iiif/464843ef-f0fe-4775-9ad4-6b241f8f7fea,"https://api.nga.gov/iiif/464843ef-f0fe-4775-9ad4-6b241f8f7fea/full/!200,200/0/default.jpg"
6636,208660,"Wandering boy, Camp Carlton, California",Photograph,44358,1935,Dorothea Lange,"Lange, Dorothea","American, 1895 - 1965",American,American,1,artist,artist,,,,,,,gelatin silver print,Gift of Daniel Greenberg and Susan Steinhauser,"image: 34 × 25.1 cm (13 3/8 × 9 7/8 in.)
sheet: 35.3 × 28 cm (13 7/8 × 11 in.)
mount: 38.1 × 28 cm (15 × 11 in.)",West Building,G-033,1,West Ground Floor Gallery 33,W,https://api.nga.gov/iiif/fce9d0be-33ef-4a76-a132-20fcf60e6de0,"https://api.nga.gov/iiif/fce9d0be-33ef-4a76-a132-20fcf60e6de0/full/!200,200/0/default.jpg"
6636,208565,"Mexican workers leaving for melon fields, Imperial Valley, California
",Photograph,44358,"June 1935, printed 1940s",Dorothea Lange,"Lange, Dorothea","American, 1895 - 1965",American,American,1,artist,artist,,,,,,,gelatin silver print,Gift of Daniel Greenberg and Susan Steinhauser,"image: 45 × 58 cm (17 11/16 × 22 13/16 in.)
sheet: 50.2 × 67.5 cm (19 3/4 × 26 9/16 in.)",West Building,G-033,1,West Ground Floor Gallery 33,W,https://api.nga.gov/iiif/71b25516-74b0-405f-abe6-88989ba3d578,"https://api.nga.gov/iiif/71b25516-74b0-405f-abe6-88989ba3d578/full/!200,200/0/default.jpg"
6636,208617,"Dispossessed Arkansas farmers. These people are resettling themselves on the dump outside of Bakersfield, California
",Photograph,44358,1935,Dorothea Lange,"Lange, Dorothea","American, 1895 - 1965",American,American,1,artist,artist,,,,,,,gelatin silver print,Gift of Daniel Greenberg and Susan Steinhauser,"image: 24.1 × 18.8 cm (9 1/2 × 7 3/8 in.)
sheet: 25.3 × 20.7 cm (9 15/16 × 8 1/8 in.)",West Building,G-033,1,West Ground Floor Gallery 33,W,https://api.nga.gov/iiif/0a0a903b-f717-46ae-9c19-3d028490ee71,"https://api.nga.gov/iiif/0a0a903b-f717-46ae-9c19-3d028490ee71/full/!200,200/0/default.jpg"
6636,208670,"Drought refugees from Oklahoma camping by the roadside, Blythe, California",Photograph,44358,"August 17, 1936",Dorothea Lange,"Lange, Dorothea","American, 1895 - 1965",American,American,1,artist,artist,,,,,,,gelatin silver print,Gift of Daniel Greenberg and Susan Steinhauser,"image: 24 × 19.1 cm (9 7/16 × 7 1/2 in.)
mount: 33.02 × 28.26 cm (13 × 11 1/8 in.)",West Building,G-033,1,West Ground Floor Gallery 33,W,https://api.nga.gov/iiif/385204d0-6445-41c0-93dc-4888f82ab2a9,"https://api.nga.gov/iiif/385204d0-6445-41c0-93dc-4888f82ab2a9/full/!200,200/0/default.jpg"
6640,218818,"Man at microphone, May Day Demonstration, San Francisco, California",Photograph,44358,1934,Dorothea Lange,"Lange, Dorothea","American, 1895 - 1965",American,American,1,artist,artist,,,,,,,gelatin silver print,Gift of Daniel Greenberg and Susan Steinhauser,image/sheet: 23.7 × 17.7 cm (9 5/16 × 6 15/16 in.),West Building,G-034,1,West Ground Floor Gallery 34,W,https://api.nga.gov/iiif/16d79b7f-0ad1-490d-9a62-c896a64ef038,"https://api.nga.gov/iiif/16d79b7f-0ad1-490d-9a62-c896a64ef038/full/!200,200/0/default.jpg"
6640,169312,"Street Demonstration, San Francisco",Photograph,44358,1934,Dorothea Lange,"Lange, Dorothea","American, 1895 - 1965",American,American,1,artist,artist,,,,,,,gelatin silver print,"Diana and Mallory Walker Fund and Robert Menschel and the Vital Projects Fund, in Honor of the 25th Anniversary of Photography at the National Gallery of Art","image: 24.4 × 19.1 cm (9 5/8 × 7 1/2 in.)
mount: 27.9 × 20.2 cm (11 × 7 15/16 in.)",West Building,G-034,1,West Ground Floor Gallery 34,W,https://api.nga.gov/iiif/53722034-b827-4354-b1c8-31d6f4e015e1,"https://api.nga.gov/iiif/53722034-b827-4354-b1c8-31d6f4e015e1/full/!200,200/0/default.jpg"
6640,208592,San Francisco Waterfront,Photograph,44358,1934,Dorothea Lange,"Lange, Dorothea","American, 1895 - 1965",American,American,1,artist,artist,,,,,,,gelatin silver print,Gift of Daniel Greenberg and Susan Steinhauser,image/sheet: 11.8 × 9.1 cm (4 5/8 × 3 9/16 in.),West Building,G-034,1,West Ground Floor Gallery 34,W,https://api.nga.gov/iiif/52f26a20-b7f5-4420-9c90-ff6c073d1e67,"https://api.nga.gov/iiif/52f26a20-b7f5-4420-9c90-ff6c073d1e67/full/!200,200/0/default.jpg"
6640,208648,"Street meeting, San Francisco",Photograph,44358,1934,Dorothea Lange,"Lange, Dorothea","American, 1895 - 1965",American,American,1,artist,artist,,,,,,,gelatin silver print,Gift of Daniel Greenberg and Susan Steinhauser,image/sheet: 23.5 × 17.5 cm (9 1/4 × 6 7/8 in.),West Building,G-034,1,West Ground Floor Gallery 34,W,https://api.nga.gov/iiif/314a5356-ad62-4138-9f7e-b6c12593a42c,"https://api.nga.gov/iiif/314a5356-ad62-4138-9f7e-b6c12593a42c/full/!200,200/0/default.jpg"
6640,208661,"Stenographer with mended stockings, San Francisco, California",Photograph,44358,"1934, printed 1950s",Dorothea Lange,"Lange, Dorothea","American, 1895 - 1965",American,American,1,artist,artist,,,,,,,gelatin silver print,Gift of Daniel Greenberg and Susan Steinhauser,"image: 34 × 26.6 cm (13 3/8 × 10 1/2 in.)
sheet: 35.2 × 27.8 cm (13 7/8 × 10 15/16 in.)",West Building,G-034,1,West Ground Floor Gallery 34,W,https://api.nga.gov/iiif/67c28ba3-f435-4806-abc6-4c3144c391b2,"https://api.nga.gov/iiif/67c28ba3-f435-4806-abc6-4c3144c391b2/full/!200,200/0/default.jpg"
6640,208662,"Unemployed man, San Francisco, California",Photograph,44358,1934,Dorothea Lange,"Lange, Dorothea","American, 1895 - 1965",American,American,1,artist,artist,,,,,,,gelatin silver print,Gift of Daniel Greenberg and Susan Steinhauser,"image: 24.8 × 19.1 cm (9 3/4 × 7 1/2 in.)
sheet: 25.2 × 19.6 cm (9 15/16 × 7 11/16 in.)",West Building,G-034,1,West Ground Floor Gallery 34,W,https://api.nga.gov/iiif/0d718ad0-0e48-4273-bde1-153858f2a1ef,"https://api.nga.gov/iiif/0d718ad0-0e48-4273-bde1-153858f2a1ef/full/!200,200/0/default.jpg"
6640,208527,"White Angel breadline, San Francisco, California",Photograph,44358,1933,Dorothea Lange,"Lange, Dorothea","American, 1895 - 1965",American,American,1,artist,artist,,,,,,,gelatin silver print,Gift of Daniel Greenberg and Susan Steinhauser,image/sheet: 34 × 26.5 cm (13 3/8 × 10 7/16 in.),West Building,G-034,1,West Ground Floor Gallery 34,W,https://api.nga.gov/iiif/252327e8-a952-4c3d-b37b-5b22f757b348,"https://api.nga.gov/iiif/252327e8-a952-4c3d-b37b-5b22f757b348/full/!200,200/0/default.jpg"
6640,208601,"May Day, San Francisco, California",Photograph,44358,"1934, printed c. 1960s",Dorothea Lange,"Lange, Dorothea","American, 1895 - 1965",American,American,1,artist,artist,,,,,,,gelatin silver print,Gift of Daniel Greenberg and Susan Steinhauser,"image: 24 × 19 cm (9 7/16 × 7 1/2 in.)
sheet: 25.4 × 20.32 cm (10 × 8 in.)",West Building,G-034,1,West Ground Floor Gallery 34,W,https://api.nga.gov/iiif/dc355b06-831b-43a2-8a45-d3ed1d6f3fad,"https://api.nga.gov/iiif/dc355b06-831b-43a2-8a45-d3ed1d6f3fad/full/!200,200/0/default.jpg"
8355,224919,Lucia Bonasoni Garzoni,Painting,36772,c. 1590,Lavinia Fontana,"Fontana, Lavinia","Italian, 1552 - 1614",Italian,Italian,1,artist,artist,,,,,,,"oil on canvas
","Gift of Funds from Anonymous in memory of Montana Walker Strauss, and Patrons' Permanent Fund","overall: 113.5 × 87.5 cm (44 11/16 × 34 7/16 in.)
framed: 149.54 × 126.68 × 8.89 cm (58 7/8 × 49 7/8 × 3 1/2 in.)",West Building,M-033,1,West Main Floor Gallery 33,W,https://api.nga.gov/iiif/3b5b7b90-f466-48fa-8202-bf5a4eb17dd2,"https://api.nga.gov/iiif/3b5b7b90-f466-48fa-8202-bf5a4eb17dd2/full/!200,200/0/default.jpg"
14179,108510,An Entrance to the Paris Métropolitain,Decorative Art,23194,"model 1902, fabricated 1902/1913",Hector Guimard,"Guimard, Hector","French, 1867 - 1942",French,French,1,artist,designer,,,,,,,painted cast iron and bronze,Gift of Robert P. and Arlene R. Kogod,"overall: 421 x 370 x 584 cm (165 3/4 x 145 11/16 x 229 15/16 in.)
gross weight (estimated): 2180.500 kg
gross weight (each upright element): 1200 lb. (544.316 kg)",Sculpture Garden (WSG),SW-Quad,1,Sculpture Garden - SW,,https://api.nga.gov/iiif/68708856-eb09-42f5-8dd3-7a13dbb0453d,"https://api.nga.gov/iiif/68708856-eb09-42f5-8dd3-7a13dbb0453d/full/!200,200/0/default.jpg"
14179,56600,Cubi XXVI,Sculpture,2274,1965,David Smith,"Smith, David","American, 1906 - 1965",American,American,1,artist,artist,,,,,,,stainless steel,Ailsa Mellon Bruce Fund,overall: 303.4 x 383.4 x 65.6 cm (119 7/16 x 150 15/16 x 25 13/16 in.),Sculpture Garden (WSG),SW-Quad,1,Sculpture Garden - SW,,https://api.nga.gov/iiif/27284dde-a5d9-4657-a99f-e49a59350600,"https://api.nga.gov/iiif/27284dde-a5d9-4657-a99f-e49a59350600/full/!200,200/0/default.jpg"
14179,150152,Graft,Sculpture,34629,2008-2009,Roxy Paine,"Paine, Roxy","American, born 1966",American,American,1,artist,artist,,,,,,,stainless steel and concrete,Gift of Victoria and Roger Sant,height: 540 in. (1371.6 cm),Sculpture Garden (WSG),SW-Quad,1,Sculpture Garden - SW,,https://api.nga.gov/iiif/bf563e4c-ddb5-42db-bd96-4103014013a7,"https://api.nga.gov/iiif/bf563e4c-ddb5-42db-bd96-4103014013a7/full/!200,200/0/default.jpg"
14179,107761,House I,Sculpture,4711,"model 1996, fabricated 1998",Roy Lichtenstein,"Lichtenstein, Roy","American, 1923 - 1997",American,American,1,artist,artist,,,,,,,fabricated and painted aluminum,Gift of The Morris and Gwendolyn Cafritz Foundation,overall: 292.1 x 447 x 132.1 cm (115 x 176 x 52 in.) gross weight: 1900 lb.,Sculpture Garden (WSG),SW-Quad,1,Sculpture Garden - SW,,https://api.nga.gov/iiif/3f7bf5bd-06c4-4596-8918-b575c56ebd40,"https://api.nga.gov/iiif/3f7bf5bd-06c4-4596-8918-b575c56ebd40/full/!200,200/0/default.jpg"
9271,110269,Crouching Rabbit,Sculpture,39083,model c. 1820s,Antoine-Louis Barye,"Barye, Antoine-Louis","French, 1795 - 1875",French,French,1,artist,sculptor,,,,,,,bronze,Collection of Mr. and Mrs. Paul Mellon,overall: 5.4 × 4.8 × 8.9 cm (2 1/8 × 1 7/8 × 3 1/2 in.),West Building,G-008,1,West Ground Floor Gallery 8,S,https://api.nga.gov/iiif/dd6bc5c3-d407-4888-a4bc-68123785d744,"https://api.nga.gov/iiif/dd6bc5c3-d407-4888-a4bc-68123785d744/full/!200,200/0/default.jpg"
9271,110270,Fawn Scratching,Sculpture,39083,model before 1847,Antoine-Louis Barye,"Barye, Antoine-Louis","French, 1795 - 1875",French,French,1,artist,sculptor,,,,,,,bronze,Collection of Mr. and Mrs. Paul Mellon,overall: 7 × 15.2 × 7.6 cm (2 3/4 × 6 × 3 in.),West Building,G-008,1,West Ground Floor Gallery 8,S,https://api.nga.gov/iiif/4e9e41b3-c94a-4c88-8542-b5013d1046ee,"https://api.nga.gov/iiif/4e9e41b3-c94a-4c88-8542-b5013d1046ee/full/!200,200/0/default.jpg"
9271,110271,Tortoise,Sculpture,39083,model c. 1820s,Antoine-Louis Barye,"Barye, Antoine-Louis","French, 1795 - 1875",French,French,1,artist,sculptor,,,,,,,bronze,Collection of Mr. and Mrs. Paul Mellon,overall: 3.2 × 7 × 9.5 cm (1 1/4 × 2 3/4 × 3 3/4 in.),West Building,G-008,1,West Ground Floor Gallery 8,S,https://api.nga.gov/iiif/16b7c45f-f254-4352-9506-5e892d4bf919,"https://api.nga.gov/iiif/16b7c45f-f254-4352-9506-5e892d4bf919/full/!200,200/0/default.jpg"
9271,132516,Walking Panther,Sculpture,39083,model 1831,Antoine-Louis Barye,"Barye, Antoine-Louis","French, 1795 - 1875",French,French,1,artist,artist,,,,,,,bronze,Gift of Elizabeth L. Klee,overall: 7.5 x 13.5 cm (2 15/16 x 5 5/16 in.),West Building,G-008,1,West Ground Floor Gallery 8,S,https://api.nga.gov/iiif/7df090bd-3889-4662-a823-7916b00c323d,"https://api.nga.gov/iiif/7df090bd-3889-4662-a823-7916b00c323d/full/!200,200/0/default.jpg"
9271,57645,French Cock Crowing,Sculpture,2046,"model c. 1860/1894, cast possibly 1890s/c. 1914",Auguste-Nicolas Cain,"Cain, Auguste-Nicolas","French, 1821 - 1894",French,French,1,artist,sculptor,,,,,,,bronze,Collection of Mr. and Mrs. Paul Mellon,overall: 30.5 x 13.5 x 29.8 cm (12 x 5 5/16 x 11 3/4 in.),West Building,G-008,1,West Ground Floor Gallery 8,S,https://api.nga.gov/iiif/92fcc267-407d-4292-bd1f-9386254517f8,"https://api.nga.gov/iiif/92fcc267-407d-4292-bd1f-9386254517f8/full/!200,200/0/default.jpg"
9271,70214,Draped Female Figure,Sculpture,6530,"c. 1922/1929, cast 1932",Daniel Chester French,"French, Daniel Chester","American, 1850 - 1931",American,American,1,artist,artist,,,,,,,bronze,Gift of Mr. and Mrs. Robert Hilton Simmons,overall (height): 26 cm (10 1/4 in.),West Building,G-008,1,West Ground Floor Gallery 8,S,https://api.nga.gov/iiif/4205e28a-2fa3-41b9-ae6d-3290b96e45e5,"https://api.nga.gov/iiif/4205e28a-2fa3-41b9-ae6d-3290b96e45e5/full/!200,200/0/default.jpg"
9271,76327,Virginia Deer,Sculpture,39083,1831,Antoine-Louis Barye,"Barye, Antoine-Louis","French, 1795 - 1875",French,French,1,artist,sculptor,,,,,,,cast bronze,Gift of Lisa and Leonard Baskin,overall: 9 x 15.1 cm (3 1/2 x 5 15/16 in.),West Building,G-008,1,West Ground Floor Gallery 8,S,https://api.nga.gov/iiif/990f27ad-e662-4d95-b5ac-a0ed2d1415a9,"https://api.nga.gov/iiif/990f27ad-e662-4d95-b5ac-a0ed2d1415a9/full/!200,200/0/default.jpg"
9271,110287,Walking Ostrich,Sculpture,2832,model 19th century,French 19th Century,French 19th Century,,French,French,1,artist,sculptor,,,,,,,bronze,Collection of Mr. and Mrs. Paul Mellon,overall: 17.1 × 7 × 14.6 cm (6 3/4 × 2 3/4 × 5 3/4 in.),West Building,G-008,1,West Ground Floor Gallery 8,S,https://api.nga.gov/iiif/74b9967d-489c-4aae-8b2c-1aa580bddaa5,"https://api.nga.gov/iiif/74b9967d-489c-4aae-8b2c-1aa580bddaa5/full/!200,200/0/default.jpg"
9271,61401,Mother and Child,Sculpture,2075,c. 1873,Aimé-Jules Dalou,"Dalou, Aimé-Jules","French, 1838 - 1902",French,French,1,artist,artist,,,,,,,terracotta,Collection of Mr. and Mrs. Paul Mellon,overall: 29.2 x 10.8 x 15.9 cm (11 1/2 x 4 1/4 x 6 1/4 in.),West Building,G-008,1,West Ground Floor Gallery 8,S,https://api.nga.gov/iiif/4878ed0f-29fb-4c49-ae91-52eee8cdacd3,"https://api.nga.gov/iiif/4878ed0f-29fb-4c49-ae91-52eee8cdacd3/full/!200,200/0/default.jpg"
