locationid,objectid,title,TypesofArt,constituentid,displaydate,forwarddisplayname,preferreddisplayname,displaydate_x,nationality,visualbrowsernationality,displayorder,roletype,role,prefix,suffix,displaydate_y,beginyear,endyear,country,medium,creditline,dimensions,site,room,publicaccess,description,unitposition,iiifurl,iiifthumburl
9032,110708,The Adoration of the Magi [obverse],Sculpture,2019,c. 1530s,Valerio Belli,"Belli, Valerio","Italian, 1468 - 1546",Italian,Italian,1,artist,medalist,,,,,,,bronze,Gift of Lisa and Leonard Baskin,overall: 7.1 x 5 cm (2 3/4 x 2 in.),West Building,G-016,1,West Ground Floor Gallery 16,N,https://api.nga.gov/iiif/5748782a-d1ed-4924-bfed-5a283661c51b,"https://api.nga.gov/iiif/5748782a-d1ed-4924-bfed-5a283661c51b/full/!200,200/0/default.jpg"
9032,110709,Presentation of Christ in the Temple [reverse],Sculpture,2019,c. 1530s,Valerio Belli,"Belli, Valerio","Italian, 1468 - 1546",Italian,Italian,1,artist,medalist,,,,,,,bronze,Gift of Lisa and Leonard Baskin,overall: 7.1 x 5 cm (2 3/4 x 2 in.),West Building,G-016,1,West Ground Floor Gallery 16,N,https://api.nga.gov/iiif/fc057ed2-b2d2-4359-9dcf-66b4079fbb9c,"https://api.nga.gov/iiif/fc057ed2-b2d2-4359-9dcf-66b4079fbb9c/full/!200,200/0/default.jpg"
9032,1368,Sword Pommel with inset plaquette of Ariadne [affixed reverse of pommel],Sculpture,2180,second half 15th century,Master IO.F.F.,Master IO.F.F.,"Bolognese, active 1468/1484",Italian,Italian,1,artist,artist,,,,,,,bronze,Widener Collection,"overall (diameter of plaquette alone): 5.37 cm (2 1/8 in.)
gross weight (pommel with affixed plaquette): 231 gr (0.509 lb.)
overall (sword pommel): 7.05 × 7.27 × 1.63 cm (2 3/4 × 2 7/8 × 5/8 in.)",West Building,G-016,1,West Ground Floor Gallery 16,N,https://api.nga.gov/iiif/40f578c5-94fc-432c-8257-50b32ffdda75,"https://api.nga.gov/iiif/40f578c5-94fc-432c-8257-50b32ffdda75/full/!200,200/0/default.jpg"
9032,1400,David Triumphant over Goliath,Sculpture,2200,1507 or before,Moderno,Moderno,"Veronese, 1467 - 1528",Italian,Italian,1,artist,artist,,,,,,,bronze,Widener Collection,"overall: 7.14 × 5.59 cm (2 13/16 × 2 3/16 in.)
gross weight: 65.86 gr (0.145 lb.)",West Building,G-016,1,West Ground Floor Gallery 16,N,https://api.nga.gov/iiif/2076a036-7cf1-42a0-b37d-45b9700ecf6b,"https://api.nga.gov/iiif/2076a036-7cf1-42a0-b37d-45b9700ecf6b/full/!200,200/0/default.jpg"
9032,44314,"John VIII Palaeologus, 1392-1448, Emperor of Constantinople 1425 [obverse]",Sculpture,2228,1438/1439,Pisanello,Pisanello,"Veronese, c. 1395 - 1455",Italian,Italian,1,artist,artist,,,,,,,"lead//Trial cast, possibly",Samuel H. Kress Collection,"overall (diameter): 10.38 cm (4 1/16 in.)
gross weight: 421.59 gr (0.929 lb.)
axis: 11:00",West Building,G-016,1,West Ground Floor Gallery 16,N,https://api.nga.gov/iiif/113c90d0-279b-4290-9a13-e38217e2724c,"https://api.nga.gov/iiif/113c90d0-279b-4290-9a13-e38217e2724c/full/!200,200/0/default.jpg"
9032,44324,"Leonello d'Este, 1407-1450, Marquess of Ferrara 1441 [obverse]",Sculpture,2228,c. 1440/1443,Pisanello,Pisanello,"Veronese, c. 1395 - 1455",Italian,Italian,1,artist,artist,,,,,,,bronze,Samuel H. Kress Collection,"overall (diameter): 6.74 cm (2 5/8 in.)
gross weight: 100.32 gr (0.221 lb.)
axis: 12:00",West Building,G-016,1,West Ground Floor Gallery 16,N,https://api.nga.gov/iiif/d055ff33-5c6f-491f-ae0d-bbb3193e5c96,"https://api.nga.gov/iiif/d055ff33-5c6f-491f-ae0d-bbb3193e5c96/full/!200,200/0/default.jpg"
9032,44332,"Leonello d'Este, 1407-1450, Marquess of Ferrara 1441 [obverse]",Sculpture,2228,1444,Pisanello,Pisanello,"Veronese, c. 1395 - 1455",Italian,Italian,1,artist,artist,,,,,,,bronze,Samuel H. Kress Collection,"overall (diameter): 10.08 cm (3 15/16 in.)
gross weight: 318.02 gr (0.701 lb.)
axis: 12:00",West Building,G-016,1,West Ground Floor Gallery 16,N,https://api.nga.gov/iiif/6e76f27b-2c6e-4df2-a4a4-75cf2d4cd46f,"https://api.nga.gov/iiif/6e76f27b-2c6e-4df2-a4a4-75cf2d4cd46f/full/!200,200/0/default.jpg"
9032,44342,"Domenico Novello Malatesta, 1418-1465, Lord of Cesena and Cervia 1429 [obverse]",Sculpture,2228,c. 1445,Pisanello,Pisanello,"Veronese, c. 1395 - 1455",Italian,Italian,1,artist,artist,,,,,,,bronze,Samuel H. Kress Collection,"overall (diameter): 8.57 cm (3 3/8 in.)
gross weight: 221.94 gr (0.489 lb.)
axis: 1:00",West Building,G-016,1,West Ground Floor Gallery 16,N,https://api.nga.gov/iiif/58d99568-3854-4859-91c1-ff55027278ed,"https://api.nga.gov/iiif/58d99568-3854-4859-91c1-ff55027278ed/full/!200,200/0/default.jpg"
9032,44346,"Cecilia Gonzaga, 1426-1451, daughter of Gianfrancesco I [obverse]",Sculpture,2228,1447,Pisanello,Pisanello,"Veronese, c. 1395 - 1455",Italian,Italian,1,artist,artist,,,,,,,lead,Samuel H. Kress Collection,"overall (diameter): 8.66 cm (3 7/16 in.)
gross weight: 215.56 gr (0.475 lb.)
axis: 12:00",West Building,G-016,1,West Ground Floor Gallery 16,N,https://api.nga.gov/iiif/ceafa15b-be86-47f5-8726-f0fcbb7574d5,"https://api.nga.gov/iiif/ceafa15b-be86-47f5-8726-f0fcbb7574d5/full/!200,200/0/default.jpg"
9032,44347,Innocence and Unicorn in a Moonlit Landscape [reverse],Sculpture,2228,1447,Pisanello,Pisanello,"Veronese, c. 1395 - 1455",Italian,Italian,1,artist,artist,,,,,,,lead,Samuel H. Kress Collection,"overall (diameter): 8.66 cm (3 7/16 in.)
gross weight: 215.56 gr (0.475 lb.)
axis: 12:00",West Building,G-016,1,West Ground Floor Gallery 16,N,https://api.nga.gov/iiif/40abdf44-4c0e-49c2-ac73-2bc356d480bb,"https://api.nga.gov/iiif/40abdf44-4c0e-49c2-ac73-2bc356d480bb/full/!200,200/0/default.jpg"
